workerid,rt,content,trigger,short_trigger,question_type,trigger_class,response,block,age,trial
2,10605,bmw,possNP,possNP,ai,B,1,block1,22,1
2,9195,play,stop,stop,ai,C,0,block1,22,2
2,6027,olives,annoyed,annoyed,ai,C,1,block1,22,3
2,3526,cupcakes,MC1,MC,ai,NonProj,0,block1,22,4
2,7222,aunt,MC4,MC,ai,NonProj,0,block1,22,5
2,7889,nails,discover,discover,ai,C,1,block1,22,6
2,4845,muffins,MC6,MC,ai,NonProj,0,block1,22,7
2,3923,boyfriend,NRRC,NRRC,ai,B,1,block1,22,8
2,4497,soccer,MC2,MC,ai,NonProj,0,block1,22,9
2,6681,alcatraz,know,know,ai,C,1,block1,22,10
2,6024,veggie,NomApp,NomApp,ai,B,1,block1,22,11
2,5488,hat,MC5,MC,ai,NonProj,0,block1,22,12
2,18697,kids,MC3,MC,ai,NonProj,0,block1,22,13
2,12366,pizza,only,only,ai,C,0,block1,22,14
2,3173,stuntman,stupid,stupid,ai,C,1,block1,22,15
2,3799,cupcakes,MC1,MC,projective,NonProj,0,block2,22,16
2,3173,aunt,MC4,MC,projective,NonProj,0,block2,22,17
2,2855,hat,MC5,MC,projective,NonProj,0,block2,22,18
2,5910,play,stop,stop,projective,C,1,block2,22,19
2,4205,bmw,possNP,possNP,projective,B,1,block2,22,20
2,3422,soccer,MC2,MC,projective,NonProj,0,block2,22,21
2,4871,olives,annoyed,annoyed,projective,C,1,block2,22,22
2,3242,alcatraz,know,know,projective,C,1,block2,22,23
2,4505,kids,MC3,MC,projective,NonProj,0,block2,22,24
2,3098,stuntman,stupid,stupid,projective,C,1,block2,22,25
2,6107,muffins,MC6,MC,projective,NonProj,0,block2,22,26
2,10670,pizza,only,only,projective,C,1,block2,22,27
2,5888,boyfriend,NRRC,NRRC,projective,B,1,block2,22,28
2,6815,nails,discover,discover,projective,C,1,block2,22,29
2,16840,veggie,NomApp,NomApp,projective,B,1,block2,22,30
3,5483,pizza,only,only,ai,C,0.11,block1,30,1
3,2979,boyfriend,MC1,MC,ai,NonProj,0,block1,30,2
3,2235,cupcakes,MC6,MC,ai,NonProj,0,block1,30,3
